Code,Nama Barang,Merk,Jumlah,Total,Status,Sumber,Lokasi,Lantai,Satuan,Foto Real,Keterangan
,Kursi Kantor Hitam Sandaran Tangan,,1,,Baik,,R. Workshop,2,Unit,,
,Kursi Kantor Hitam Sandaran Tangan,,1,,Baik,,R. Workshop,2,Unit,,
,Kursi Kantor Hitam Sandaran Tangan,,1,,Baik,,R. Workshop,2,Unit,,
,Kursi Kantor Hitam Sandaran Tangan,,1,,Baik,,R. Workshop,2,Unit,,
,Kursi Kantor Hitam Tanpa Sandaran Tangan,,1,2,Baik,,R. Workshop,2,Unit,,
,Kursi Kantor Hitam Tanpa Sandaran Tangan,,1,,Baik,,R. Workshop,2,Unit,,
,Rak Krisbow Besi Putih,,1,2,Baik,,R. Workshop,2,Unit,,
,Rak Krisbow Besi Putih,,1,,Baik,,R. Workshop,2,Unit,,
,Kulkas,,1,1,Baik,,R. Workshop,2,Unit,,
,Meja Dapur Coklat Besi Putih,,1,1,Baik,,R. Workshop,2,Unit,,
,Dispenser Philips,,1,1,Baik,,R. Workshop,2,Unit,,
,Papan Tulis Putih,,1,1,Baik,,R. Workshop,2,Unit,,
,Lemari Kecil 3 Loker Putih,,1,1,Baik,,R. Workshop,2,Unit,,
,Lemari Sedang 2 Loker Coklat,,1,1,Baik,,R. Workshop,2,Unit,,
,Kursi Kayu Panjang Coklat,,1,1,Baik,,R. Workshop,2,Unit,,
,Kursi Kayu Kecil Coklat,,1,1,Baik,,R. Workshop,2,Unit,,
,Komputer,,1,1,Baik,,R. Workshop,2,Paket,,
,Printer 1 Epson L3250,,1,1,Baik,,R. Workshop,2,Unit,,
,Printer 2 Epson L3250,,1,1,Baik,,R. Workshop,2,Unit,,
,Printer 3 Epson L3250,,1,1,Rusak,,R. Workshop,2,Unit,,
,Printer 4 Epson L3250,,1,1,Baik,,R. Workshop,2,Unit,,
,Printer 5 Epson L3250,,1,1,Baik,,R. Workshop,2,Unit,,
,AC Cassete,,1,1,Baik,,R. Workshop,2,Unit,,
,Proyektor 1 ViewSonic PJD5154,,1,1,Baik,,R. Workshop,2,Paket,,
,Proyektor 2 Epson EB-E500,,1,1,Baik,,R. Workshop,2,Paket,,
,Papan Tulis Putih Besar,,1,1,Baik,,R. Workshop,2,Unit,,
,Sound JBL 710,,1,1,Baik,,R. Workshop,2,Unit,,
,,,,,,,,,,,
,AC Split,,1,2,Baik,,Mushola,2,Unit,,
,AC Split,,1,,Baik,,Mushola,2,Unit,,
,Lemari Peralatan Sholat,,1,,Baik,,Mushola,2,Unit,,
,,,,,,,,,,,
,AC Split,,1,1,Baik,,R. 214,2,Unit,,
,Portabel Massase,,1,3,Baik,,R. 214,2,Unit,,
,Portabel Massase,,1,,Baik,,R. 214,2,Unit,,
,Portabel Massase,,1,,Baik,,R. 214,2,Unit,,
,,,,,,,,,,,
